parent_sku,variant_sku,variant_handle,dispimg_id,source_file,status
TZ-QZ-001,TZ-QZ-001-56g,tz-qz-001-56g,ID_31F34D23C6144BD18B2213783C5E7F1A,D:\开发\fishAgent\总包\skill\reverse-skill\omc-replica\ybb-site\deploy\product-import\tz-qz-image-sources\tz-qz-001.png,ok
TZ-QZ-001,TZ-QZ-001-71g,tz-qz-001-71g,ID_31F34D23C6144BD18B2213783C5E7F1A,D:\开发\fishAgent\总包\skill\reverse-skill\omc-replica\ybb-site\deploy\product-import\tz-qz-image-sources\tz-qz-001.png,ok
TZ-QZ-001,TZ-QZ-001-85g,tz-qz-001-85g,ID_31F34D23C6144BD18B2213783C5E7F1A,D:\开发\fishAgent\总包\skill\reverse-skill\omc-replica\ybb-site\deploy\product-import\tz-qz-image-sources\tz-qz-001.png,ok
TZ-QZ-001,TZ-QZ-001-99g,tz-qz-001-99g,ID_31F34D23C6144BD18B2213783C5E7F1A,D:\开发\fishAgent\总包\skill\reverse-skill\omc-replica\ybb-site\deploy\product-import\tz-qz-image-sources\tz-qz-001.png,ok
TZ-QZ-001,TZ-QZ-001-113g,tz-qz-001-113g,ID_31F34D23C6144BD18B2213783C5E7F1A,D:\开发\fishAgent\总包\skill\reverse-skill\omc-replica\ybb-site\deploy\product-import\tz-qz-image-sources\tz-qz-001.png,ok
TZ-QZ-001,TZ-QZ-001-128g,tz-qz-001-128g,ID_31F34D23C6144BD18B2213783C5E7F1A,D:\开发\fishAgent\总包\skill\reverse-skill\omc-replica\ybb-site\deploy\product-import\tz-qz-image-sources\tz-qz-001.png,ok
TZ-QZ-001,TZ-QZ-001-142g,tz-qz-001-142g,ID_31F34D23C6144BD18B2213783C5E7F1A,D:\开发\fishAgent\总包\skill\reverse-skill\omc-replica\ybb-site\deploy\product-import\tz-qz-image-sources\tz-qz-001.png,ok
TZ-QZ-002,TZ-QZ-002-56g,tz-qz-002-56g,ID_45536360C50D45D08C45C6108F6A6BC0,D:\开发\fishAgent\总包\skill\reverse-skill\omc-replica\ybb-site\deploy\product-import\tz-qz-image-sources\tz-qz-002.jpeg,ok
TZ-QZ-002,TZ-QZ-002-71g,tz-qz-002-71g,ID_45536360C50D45D08C45C6108F6A6BC0,D:\开发\fishAgent\总包\skill\reverse-skill\omc-replica\ybb-site\deploy\product-import\tz-qz-image-sources\tz-qz-002.jpeg,ok
TZ-QZ-002,TZ-QZ-002-85g,tz-qz-002-85g,ID_45536360C50D45D08C45C6108F6A6BC0,D:\开发\fishAgent\总包\skill\reverse-skill\omc-replica\ybb-site\deploy\product-import\tz-qz-image-sources\tz-qz-002.jpeg,ok
TZ-QZ-002,TZ-QZ-002-99g,tz-qz-002-99g,ID_45536360C50D45D08C45C6108F6A6BC0,D:\开发\fishAgent\总包\skill\reverse-skill\omc-replica\ybb-site\deploy\product-import\tz-qz-image-sources\tz-qz-002.jpeg,ok
TZ-QZ-002,TZ-QZ-002-113g,tz-qz-002-113g,ID_45536360C50D45D08C45C6108F6A6BC0,D:\开发\fishAgent\总包\skill\reverse-skill\omc-replica\ybb-site\deploy\product-import\tz-qz-image-sources\tz-qz-002.jpeg,ok
TZ-QZ-003,TZ-QZ-003-15g,tz-qz-003-15g,ID_E121CF71EDA74E4EA0B157DAE82D6575,D:\开发\fishAgent\总包\skill\reverse-skill\omc-replica\ybb-site\deploy\product-import\tz-qz-image-sources\tz-qz-003.png,ok
TZ-QZ-003,TZ-QZ-003-30g,tz-qz-003-30g,ID_E121CF71EDA74E4EA0B157DAE82D6575,D:\开发\fishAgent\总包\skill\reverse-skill\omc-replica\ybb-site\deploy\product-import\tz-qz-image-sources\tz-qz-003.png,ok
TZ-QZ-003,TZ-QZ-003-40g,tz-qz-003-40g,ID_E121CF71EDA74E4EA0B157DAE82D6575,D:\开发\fishAgent\总包\skill\reverse-skill\omc-replica\ybb-site\deploy\product-import\tz-qz-image-sources\tz-qz-003.png,ok
TZ-QZ-004,TZ-QZ-004-42g,tz-qz-004-42g,ID_E4A5B375AE7F482580520732E19E62A6,D:\开发\fishAgent\总包\skill\reverse-skill\omc-replica\ybb-site\deploy\product-import\tz-qz-image-sources\tz-qz-004.jpeg,ok
TZ-QZ-004,TZ-QZ-004-56g,tz-qz-004-56g,ID_E4A5B375AE7F482580520732E19E62A6,D:\开发\fishAgent\总包\skill\reverse-skill\omc-replica\ybb-site\deploy\product-import\tz-qz-image-sources\tz-qz-004.jpeg,ok
TZ-QZ-004,TZ-QZ-004-71g,tz-qz-004-71g,ID_E4A5B375AE7F482580520732E19E62A6,D:\开发\fishAgent\总包\skill\reverse-skill\omc-replica\ybb-site\deploy\product-import\tz-qz-image-sources\tz-qz-004.jpeg,ok
TZ-QZ-004,TZ-QZ-004-85g,tz-qz-004-85g,ID_E4A5B375AE7F482580520732E19E62A6,D:\开发\fishAgent\总包\skill\reverse-skill\omc-replica\ybb-site\deploy\product-import\tz-qz-image-sources\tz-qz-004.jpeg,ok
