Type,SKU,Name,Published,Visibility in catalog,Tax status,In stock?,Regular price,Categories,Grouped,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _parent_sku,Meta: _sheet,Meta: _mapping_key,Meta: _ybb_title_zh
simple,TZ-QZ-001-56g,Sinkers - 56g,1,visible,taxable,1,0.49,sinkers > sinkers--dg,TZ-QZ-001,Spec,56g,1,0,TZ-QZ-001,铅坠,,DG - 56g
simple,TZ-QZ-001-71g,Sinkers - 71g,1,visible,taxable,1,0.59,sinkers > sinkers--dg,TZ-QZ-001,Spec,71g,1,0,TZ-QZ-001,铅坠,,DG - 71g
simple,TZ-QZ-001-85g,Sinkers - 85g,1,visible,taxable,1,0.69,sinkers > sinkers--dg,TZ-QZ-001,Spec,85g,1,0,TZ-QZ-001,铅坠,,DG - 85g
simple,TZ-QZ-001-99g,Sinkers - 99g,1,visible,taxable,1,0.79,sinkers > sinkers--dg,TZ-QZ-001,Spec,99g,1,0,TZ-QZ-001,铅坠,,DG - 99g
simple,TZ-QZ-001-113g,Sinkers - 113g,1,visible,taxable,1,0.89,sinkers > sinkers--dg,TZ-QZ-001,Spec,113g,1,0,TZ-QZ-001,铅坠,,DG - 113g
simple,TZ-QZ-001-128g,Sinkers - 128g,1,visible,taxable,1,0.99,sinkers > sinkers--dg,TZ-QZ-001,Spec,128g,1,0,TZ-QZ-001,铅坠,,DG - 128g
simple,TZ-QZ-001-142g,Sinkers - 142g,1,visible,taxable,1,1.09,sinkers > sinkers--dg,TZ-QZ-001,Spec,142g,1,0,TZ-QZ-001,铅坠,,DG - 142g
simple,TZ-QZ-002-56g,Sinkers - 56g,1,visible,taxable,1,0.49,sinkers > sinkers--鱼纹插管,TZ-QZ-002,Spec,56g,1,0,TZ-QZ-002,铅坠,,鱼纹插管 - 56g
simple,TZ-QZ-002-71g,Sinkers - 71g,1,visible,taxable,1,0.59,sinkers > sinkers--鱼纹插管,TZ-QZ-002,Spec,71g,1,0,TZ-QZ-002,铅坠,,鱼纹插管 - 71g
simple,TZ-QZ-002-85g,Sinkers - 85g,1,visible,taxable,1,0.69,sinkers > sinkers--鱼纹插管,TZ-QZ-002,Spec,85g,1,0,TZ-QZ-002,铅坠,,鱼纹插管 - 85g
simple,TZ-QZ-002-99g,Sinkers - 99g,1,visible,taxable,1,0.79,sinkers > sinkers--鱼纹插管,TZ-QZ-002,Spec,99g,1,0,TZ-QZ-002,铅坠,,鱼纹插管 - 99g
simple,TZ-QZ-002-113g,Sinkers - 113g,1,visible,taxable,1,0.89,sinkers > sinkers--鱼纹插管,TZ-QZ-002,Spec,113g,1,0,TZ-QZ-002,铅坠,,鱼纹插管 - 113g
simple,TZ-QZ-003-15g,Sinkers - 15g,1,visible,taxable,1,0.49,sinkers > sinkers--绿色压水铅,TZ-QZ-003,Spec,15g,1,0,TZ-QZ-003,铅坠,,绿色压水铅 - 15g
simple,TZ-QZ-003-30g,Sinkers - 30g,1,visible,taxable,1,0.59,sinkers > sinkers--绿色压水铅,TZ-QZ-003,Spec,30g,1,0,TZ-QZ-003,铅坠,,绿色压水铅 - 30g
simple,TZ-QZ-003-40g,Sinkers - 40g,1,visible,taxable,1,0.69,sinkers > sinkers--绿色压水铅,TZ-QZ-003,Spec,40g,1,0,TZ-QZ-003,铅坠,,绿色压水铅 - 40g
simple,TZ-QZ-004-42g,Sinkers - 42g,1,visible,taxable,1,0.49,sinkers > sinkers--dpz,TZ-QZ-004,Spec,42g,1,0,TZ-QZ-004,铅坠,,DPZ - 42g
simple,TZ-QZ-004-56g,Sinkers - 56g,1,visible,taxable,1,0.59,sinkers > sinkers--dpz,TZ-QZ-004,Spec,56g,1,0,TZ-QZ-004,铅坠,,DPZ - 56g
simple,TZ-QZ-004-71g,Sinkers - 71g,1,visible,taxable,1,0.69,sinkers > sinkers--dpz,TZ-QZ-004,Spec,71g,1,0,TZ-QZ-004,铅坠,,DPZ - 71g
simple,TZ-QZ-004-85g,Sinkers - 85g,1,visible,taxable,1,0.79,sinkers > sinkers--dpz,TZ-QZ-004,Spec,85g,1,0,TZ-QZ-004,铅坠,,DPZ - 85g
simple,TZ-QZ-004-99g,Sinkers - 99g,1,visible,taxable,1,0.89,sinkers > sinkers--dpz,TZ-QZ-004,Spec,99g,1,0,TZ-QZ-004,铅坠,,DPZ - 99g
simple,TZ-QZ-004-113g,Sinkers - 113g,1,visible,taxable,1,0.99,sinkers > sinkers--dpz,TZ-QZ-004,Spec,113g,1,0,TZ-QZ-004,铅坠,,DPZ - 113g
simple,TZ-QZ-004-128g,Sinkers - 128g,1,visible,taxable,1,1.09,sinkers > sinkers--dpz,TZ-QZ-004,Spec,128g,1,0,TZ-QZ-004,铅坠,,DPZ - 128g
simple,TZ-QZ-005-57g,Sinkers - 57g,1,visible,taxable,1,0.49,sinkers > sinkers--尖头圆形,TZ-QZ-005,Spec,57g,1,0,TZ-QZ-005,铅坠,,尖头圆形 - 57g
simple,TZ-QZ-005-71g,Sinkers - 71g,1,visible,taxable,1,0.59,sinkers > sinkers--尖头圆形,TZ-QZ-005,Spec,71g,1,0,TZ-QZ-005,铅坠,,尖头圆形 - 71g
simple,TZ-QZ-005-85g,Sinkers - 85g,1,visible,taxable,1,0.69,sinkers > sinkers--尖头圆形,TZ-QZ-005,Spec,85g,1,0,TZ-QZ-005,铅坠,,尖头圆形 - 85g
simple,TZ-QZ-005-99g,Sinkers - 99g,1,visible,taxable,1,0.79,sinkers > sinkers--尖头圆形,TZ-QZ-005,Spec,99g,1,0,TZ-QZ-005,铅坠,,尖头圆形 - 99g
simple,TZ-QZ-005-113g,Sinkers - 113g,1,visible,taxable,1,0.89,sinkers > sinkers--尖头圆形,TZ-QZ-005,Spec,113g,1,0,TZ-QZ-005,铅坠,,尖头圆形 - 113g
simple,TZ-QZ-005-128g,Sinkers - 128g,1,visible,taxable,1,0.99,sinkers > sinkers--尖头圆形,TZ-QZ-005,Spec,128g,1,0,TZ-QZ-005,铅坠,,尖头圆形 - 128g
simple,TZ-QZ-005-142g,Sinkers - 142g,1,visible,taxable,1,1.09,sinkers > sinkers--尖头圆形,TZ-QZ-005,Spec,142g,1,0,TZ-QZ-005,铅坠,,尖头圆形 - 142g
simple,TZ-QZ-006-40g,Sinkers - 40g,1,visible,taxable,1,0.49,sinkers > sinkers--水滴铅,TZ-QZ-006,Spec,40g,1,0,TZ-QZ-006,铅坠,,水滴铅 - 40g
simple,TZ-QZ-006-50g,Sinkers - 50g,1,visible,taxable,1,0.59,sinkers > sinkers--水滴铅,TZ-QZ-006,Spec,50g,1,0,TZ-QZ-006,铅坠,,水滴铅 - 50g
simple,TZ-QZ-006-60g,Sinkers - 60g,1,visible,taxable,1,0.69,sinkers > sinkers--水滴铅,TZ-QZ-006,Spec,60g,1,0,TZ-QZ-006,铅坠,,水滴铅 - 60g
simple,TZ-QZ-006-70g,Sinkers - 70g,1,visible,taxable,1,0.79,sinkers > sinkers--水滴铅,TZ-QZ-006,Spec,70g,1,0,TZ-QZ-006,铅坠,,水滴铅 - 70g
simple,TZ-QZ-006-80g,Sinkers - 80g,1,visible,taxable,1,0.89,sinkers > sinkers--水滴铅,TZ-QZ-006,Spec,80g,1,0,TZ-QZ-006,铅坠,,水滴铅 - 80g
simple,TZ-QZ-006-90g,Sinkers - 90g,1,visible,taxable,1,0.99,sinkers > sinkers--水滴铅,TZ-QZ-006,Spec,90g,1,0,TZ-QZ-006,铅坠,,水滴铅 - 90g
simple,TZ-QZ-006-100g,Sinkers - 100g,1,visible,taxable,1,1.09,sinkers > sinkers--水滴铅,TZ-QZ-006,Spec,100g,1,0,TZ-QZ-006,铅坠,,水滴铅 - 100g
simple,TZ-QZ-006-110g,Sinkers - 110g,1,visible,taxable,1,1.19,sinkers > sinkers--水滴铅,TZ-QZ-006,Spec,110g,1,0,TZ-QZ-006,铅坠,,水滴铅 - 110g
simple,TZ-QZ-006-120g,Sinkers - 120g,1,visible,taxable,1,1.29,sinkers > sinkers--水滴铅,TZ-QZ-006,Spec,120g,1,0,TZ-QZ-006,铅坠,,水滴铅 - 120g
